timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/05/15 14:55:05.939, 0 %, 0 %, 43
2025/05/15 14:55:10.939, 0 %, 0 %, 43
2025/05/15 14:55:15.939, 0 %, 0 %, 43
2025/05/15 14:55:20.940, 0 %, 0 %, 43
2025/05/15 14:55:25.941, 0 %, 0 %, 43
2025/05/15 14:55:30.941, 0 %, 0 %, 43
2025/05/15 14:55:35.942, 0 %, 0 %, 43
2025/05/15 14:55:40.942, 0 %, 0 %, 43
2025/05/15 14:55:45.942, 0 %, 0 %, 43
2025/05/15 14:55:50.943, 0 %, 0 %, 43
2025/05/15 14:55:55.943, 0 %, 0 %, 43
2025/05/15 14:56:00.944, 0 %, 0 %, 43
2025/05/15 14:56:05.944, 0 %, 0 %, 43
2025/05/15 14:56:10.945, 0 %, 0 %, 43
2025/05/15 14:56:15.945, 0 %, 0 %, 43
2025/05/15 14:56:20.946, 0 %, 0 %, 43
2025/05/15 14:56:25.946, 0 %, 0 %, 43
2025/05/15 14:56:30.947, 0 %, 0 %, 43
2025/05/15 14:56:35.947, 0 %, 0 %, 43
2025/05/15 14:56:40.948, 0 %, 0 %, 43
2025/05/15 14:56:45.948, 0 %, 0 %, 43
2025/05/15 14:56:50.949, 0 %, 0 %, 43
2025/05/15 14:56:55.949, 0 %, 0 %, 43
2025/05/15 14:57:00.950, 0 %, 0 %, 43
2025/05/15 14:57:05.950, 0 %, 0 %, 43
2025/05/15 14:57:10.951, 0 %, 0 %, 43
2025/05/15 14:57:15.951, 0 %, 0 %, 43
2025/05/15 14:57:20.952, 0 %, 0 %, 43
2025/05/15 14:57:25.952, 0 %, 0 %, 43
2025/05/15 14:57:30.953, 0 %, 0 %, 43
2025/05/15 14:57:35.953, 0 %, 0 %, 43
2025/05/15 14:57:40.954, 0 %, 0 %, 43
2025/05/15 14:57:45.954, 0 %, 0 %, 43
2025/05/15 14:57:50.955, 0 %, 0 %, 43
2025/05/15 14:57:55.955, 0 %, 0 %, 43
2025/05/15 14:58:00.956, 0 %, 0 %, 43
2025/05/15 14:58:05.956, 0 %, 0 %, 43
2025/05/15 14:58:10.957, 0 %, 0 %, 43
2025/05/15 14:58:15.957, 0 %, 0 %, 43
2025/05/15 14:58:20.958, 0 %, 0 %, 43
2025/05/15 14:58:25.958, 0 %, 0 %, 43
2025/05/15 14:58:30.959, 0 %, 0 %, 43
2025/05/15 14:58:35.959, 0 %, 0 %, 43
2025/05/15 14:58:40.960, 0 %, 0 %, 43
2025/05/15 14:58:45.960, 0 %, 0 %, 43
2025/05/15 14:58:50.961, 0 %, 0 %, 43
2025/05/15 14:58:55.961, 0 %, 0 %, 43
2025/05/15 14:59:00.962, 0 %, 0 %, 43
2025/05/15 14:59:05.962, 0 %, 0 %, 43
2025/05/15 14:59:10.963, 0 %, 0 %, 43
2025/05/15 14:59:15.963, 0 %, 0 %, 43
2025/05/15 14:59:20.964, 0 %, 0 %, 43
2025/05/15 14:59:25.964, 0 %, 0 %, 43
2025/05/15 14:59:30.965, 0 %, 0 %, 43
2025/05/15 14:59:35.965, 0 %, 0 %, 43
2025/05/15 14:59:40.966, 0 %, 0 %, 43
2025/05/15 14:59:45.966, 0 %, 0 %, 43
2025/05/15 14:59:50.967, 0 %, 0 %, 43
2025/05/15 14:59:55.967, 0 %, 0 %, 43
2025/05/15 15:00:00.968, 0 %, 0 %, 43
2025/05/15 15:00:05.968, 0 %, 0 %, 43
2025/05/15 15:00:10.969, 0 %, 0 %, 43
2025/05/15 15:00:15.969, 0 %, 0 %, 43
2025/05/15 15:00:20.970, 0 %, 0 %, 43
2025/05/15 15:00:25.970, 0 %, 0 %, 43
2025/05/15 15:00:30.971, 0 %, 0 %, 43
2025/05/15 15:00:35.972, 0 %, 0 %, 43
2025/05/15 15:00:40.972, 0 %, 0 %, 43
2025/05/15 15:00:45.972, 0 %, 0 %, 43
2025/05/15 15:00:50.973, 0 %, 0 %, 43
2025/05/15 15:00:55.973, 0 %, 0 %, 43
2025/05/15 15:01:00.974, 0 %, 0 %, 43
2025/05/15 15:01:05.974, 0 %, 0 %, 43
2025/05/15 15:01:10.975, 0 %, 0 %, 43
2025/05/15 15:01:15.975, 0 %, 0 %, 43
2025/05/15 15:01:20.976, 0 %, 0 %, 43
2025/05/15 15:01:25.976, 0 %, 0 %, 43
2025/05/15 15:01:30.977, 0 %, 0 %, 43
2025/05/15 15:01:35.977, 0 %, 0 %, 43
2025/05/15 15:01:40.978, 0 %, 0 %, 43
2025/05/15 15:01:45.978, 0 %, 0 %, 43
2025/05/15 15:01:50.979, 0 %, 0 %, 43
2025/05/15 15:01:55.979, 0 %, 0 %, 43
2025/05/15 15:02:00.980, 0 %, 0 %, 43
2025/05/15 15:02:05.980, 0 %, 0 %, 43
2025/05/15 15:02:10.981, 0 %, 0 %, 43
2025/05/15 15:02:15.981, 0 %, 0 %, 43
2025/05/15 15:02:20.982, 0 %, 0 %, 43
2025/05/15 15:02:25.982, 0 %, 0 %, 43
2025/05/15 15:02:30.983, 0 %, 0 %, 43
2025/05/15 15:02:35.983, 0 %, 0 %, 43
2025/05/15 15:02:40.984, 0 %, 0 %, 43
2025/05/15 15:02:45.984, 0 %, 0 %, 43
2025/05/15 15:02:50.985, 0 %, 0 %, 43
2025/05/15 15:02:55.985, 0 %, 0 %, 43
2025/05/15 15:03:00.986, 0 %, 0 %, 43
2025/05/15 15:03:05.986, 0 %, 0 %, 43
2025/05/15 15:03:10.987, 0 %, 0 %, 43
2025/05/15 15:03:15.987, 0 %, 0 %, 43
2025/05/15 15:03:20.988, 0 %, 0 %, 43
2025/05/15 15:03:25.988, 0 %, 0 %, 43
2025/05/15 15:03:30.989, 0 %, 0 %, 43
2025/05/15 15:03:35.989, 0 %, 0 %, 43
2025/05/15 15:03:40.990, 0 %, 0 %, 43
2025/05/15 15:03:45.990, 0 %, 0 %, 43
2025/05/15 15:03:50.991, 0 %, 0 %, 43
2025/05/15 15:03:55.991, 0 %, 0 %, 43
2025/05/15 15:04:00.992, 0 %, 0 %, 43
2025/05/15 15:04:05.992, 0 %, 0 %, 43
2025/05/15 15:04:10.993, 0 %, 0 %, 43
2025/05/15 15:04:15.993, 0 %, 0 %, 43
2025/05/15 15:04:20.994, 0 %, 0 %, 43
2025/05/15 15:04:25.994, 0 %, 0 %, 43
2025/05/15 15:04:30.995, 0 %, 0 %, 43
2025/05/15 15:04:35.995, 0 %, 0 %, 43
2025/05/15 15:04:40.996, 0 %, 0 %, 43
2025/05/15 15:04:45.996, 0 %, 0 %, 43
2025/05/15 15:04:50.997, 0 %, 0 %, 43
2025/05/15 15:04:55.997, 0 %, 0 %, 43
2025/05/15 15:05:00.998, 0 %, 0 %, 43
2025/05/15 15:05:05.998, 0 %, 0 %, 43
2025/05/15 15:05:10.999, 0 %, 0 %, 43
2025/05/15 15:05:15.999, 0 %, 0 %, 43
2025/05/15 15:05:21.000, 0 %, 0 %, 43
2025/05/15 15:05:26.000, 0 %, 0 %, 43
2025/05/15 15:05:31.001, 0 %, 0 %, 43
2025/05/15 15:05:36.001, 0 %, 0 %, 43
2025/05/15 15:05:41.002, 0 %, 0 %, 43
2025/05/15 15:05:46.002, 0 %, 0 %, 43
2025/05/15 15:05:51.003, 0 %, 0 %, 43
2025/05/15 15:05:56.003, 0 %, 0 %, 43
2025/05/15 15:06:01.004, 0 %, 0 %, 43
2025/05/15 15:06:06.004, 0 %, 0 %, 43
2025/05/15 15:06:11.005, 0 %, 0 %, 43
2025/05/15 15:06:16.005, 0 %, 0 %, 43
2025/05/15 15:06:21.006, 0 %, 0 %, 43
2025/05/15 15:06:26.006, 0 %, 0 %, 43
2025/05/15 15:06:31.007, 0 %, 0 %, 43
2025/05/15 15:06:36.007, 0 %, 0 %, 43
2025/05/15 15:06:41.007, 0 %, 0 %, 43
2025/05/15 15:06:46.008, 0 %, 0 %, 43
2025/05/15 15:06:51.009, 0 %, 0 %, 43
2025/05/15 15:06:56.009, 0 %, 0 %, 43
2025/05/15 15:07:01.009, 0 %, 0 %, 43
2025/05/15 15:07:06.010, 0 %, 0 %, 43
2025/05/15 15:07:11.010, 0 %, 0 %, 43
2025/05/15 15:07:16.011, 0 %, 0 %, 43
2025/05/15 15:07:21.012, 0 %, 0 %, 43
2025/05/15 15:07:26.012, 0 %, 0 %, 43
2025/05/15 15:07:31.012, 0 %, 0 %, 43
2025/05/15 15:07:36.013, 0 %, 0 %, 43
2025/05/15 15:07:41.013, 0 %, 0 %, 43
2025/05/15 15:07:46.014, 0 %, 0 %, 43
2025/05/15 15:07:51.014, 0 %, 0 %, 43
2025/05/15 15:07:56.015, 0 %, 0 %, 43
2025/05/15 15:08:01.015, 0 %, 0 %, 43
2025/05/15 15:08:06.016, 0 %, 0 %, 43
2025/05/15 15:08:11.016, 0 %, 0 %, 43
2025/05/15 15:08:16.017, 0 %, 0 %, 43
2025/05/15 15:08:21.017, 0 %, 0 %, 43
2025/05/15 15:08:26.018, 0 %, 0 %, 43
2025/05/15 15:08:31.018, 0 %, 0 %, 43
2025/05/15 15:08:36.019, 0 %, 0 %, 43
2025/05/15 15:08:41.019, 0 %, 0 %, 43
2025/05/15 15:08:46.020, 0 %, 0 %, 43
2025/05/15 15:08:51.020, 0 %, 0 %, 43
2025/05/15 15:08:56.021, 0 %, 0 %, 43
2025/05/15 15:09:01.021, 0 %, 0 %, 43
2025/05/15 15:09:06.022, 0 %, 0 %, 43
2025/05/15 15:09:11.022, 0 %, 0 %, 43
2025/05/15 15:09:16.023, 0 %, 0 %, 43
2025/05/15 15:09:21.023, 0 %, 0 %, 43
